template_id,template,variables,tone,source
bio_0001,"Coffee lover, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a serious relationship with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0002,"Coffee lover, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a lasting partnership with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0003,"Coffee lover, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a thoughtful connection with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0004,"Coffee lover, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for someone ready to build intentionally with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0005,"Coffee lover, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a relationship rooted in trust with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0006,"Coffee lover, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a calm, loyal kind of love with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0007,"Weekend explorer, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a serious relationship with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0008,"Weekend explorer, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a lasting partnership with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0009,"Weekend explorer, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a thoughtful connection with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0010,"Weekend explorer, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for someone ready to build intentionally with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0011,"Weekend explorer, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a relationship rooted in trust with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0012,"Weekend explorer, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a calm, loyal kind of love with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0013,"Grounded optimist, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a serious relationship with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0014,"Grounded optimist, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a lasting partnership with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0015,"Grounded optimist, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a thoughtful connection with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0016,"Grounded optimist, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for someone ready to build intentionally with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0017,"Grounded optimist, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a relationship rooted in trust with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0018,"Grounded optimist, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a calm, loyal kind of love with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0019,"Curious traveler, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a serious relationship with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0020,"Curious traveler, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a lasting partnership with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0021,"Curious traveler, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a thoughtful connection with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0022,"Curious traveler, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for someone ready to build intentionally with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0023,"Curious traveler, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a relationship rooted in trust with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
bio_0024,"Curious traveler, {occupation}, and happiest around {interest_one}, {interest_two}, and {travel}. Looking for a calm, loyal kind of love with someone who values {value_one} and {value_two}.",occupation|interest_one|interest_two|travel|value_one|value_two,warm,HeartConnect generated template grammar
